央视,#genre#
博罗综合,http://192.168.0.245:8080/gdtv.php?id=blzh
博罗综合,http://192.168.0.245:8080/gdtv.php?id=blzhb
博罗综合HD,http://192.168.0.245:8080/gdtv.php?id=blzhhd
惠东综合HD,http://192.168.0.245:8080/gdtv.php?id=hdzh
惠阳综合,http://192.168.0.245:8080/gdtv.php?id=hyzh
江门综合,http://192.168.0.245:8080/gdtv.php?id=jmzh
江门综合HD,http://192.168.0.245:8080/gdtv.php?id=jmzhhd
江门侨乡生活,http://192.168.0.245:8080/gdtv.php?id=jmqxsh
鹤山综合,http://192.168.0.245:8080/gdtv.php?id=hszh
新会综合,http://192.168.0.245:8080/gdtv.php?id=xhzh
揭阳综合,http://192.168.0.245:8080/gdtv.php?id=jyzh
揭阳综合HD,http://192.168.0.245:8080/gdtv.php?id=jyzhhd
揭阳生活,http://192.168.0.245:8080/gdtv.php?id=jysh
揭阳生活HD,http://192.168.0.245:8080/gdtv.php?id=jyshhd
揭东综合,http://192.168.0.245:8080/gdtv.php?id=jdzh
茂名综合,http://192.168.0.245:8080/gdtv.php?id=mmzh
茂名文化生活,http://192.168.0.245:8080/gdtv.php?id=mmwhsh
茂名文化生活2,http://192.168.0.245:8080/gdtv.php?id=mmwhsh2
化州综合,http://192.168.0.245:8080/gdtv.php?id=hzzh
信宜综合,http://192.168.0.245:8080/gdtv.php?id=xyzh
梅州1,http://192.168.0.245:8080/gdtv.php?id=mz1
梅州2,http://192.168.0.245:8080/gdtv.php?id=mz2
梅州导视,http://192.168.0.245:8080/gdtv.php?id=mzds
梅县综合,http://192.168.0.245:8080/gdtv.php?id=mxzh
平远-1,http://192.168.0.245:8080/gdtv.php?id=py1
五华综合,http://192.168.0.245:8080/gdtv.php?id=whzh
兴宁综合,http://192.168.0.245:8080/gdtv.php?id=xnzh
清远新闻综合,http://192.168.0.245:8080/gdtv.php?id=qyxwzh
清远新闻综合HD,http://192.168.0.245:8080/gdtv.php?id=qyxwzhhd
清远文旅生活,http://192.168.0.245:8080/gdtv.php?id=qywlsh
清远文旅生活HD,http://192.168.0.245:8080/gdtv.php?id=qywlshhd
佛冈综合,http://192.168.0.245:8080/gdtv.php?id=fgzh
英德综合,http://192.168.0.245:8080/gdtv.php?id=ydzh
汕头新闻综合,http://192.168.0.245:8080/gdtv.php?id=stxwzh
汕头新闻综合2,http://192.168.0.245:8080/gdtv.php?id=stxwzh2
汕头经济生活,http://192.168.0.245:8080/gdtv.php?id=stjjsh
汕头经济生活2,http://192.168.0.245:8080/gdtv.php?id=stjjsh2
汕头文旅体育,http://192.168.0.245:8080/gdtv.php?id=stwlty
汕头文旅体育2,http://192.168.0.245:8080/gdtv.php?id=stwlty2
汕尾新闻综合,http://192.168.0.245:8080/gdtv.php?id=swxwzh
汕尾文化生活,http://192.168.0.245:8080/gdtv.php?id=swwhsh
海丰综合,http://192.168.0.245:8080/gdtv.php?id=hfzh
韶关综合,http://192.168.0.245:8080/gdtv.php?id=sgzh
韶关绿色生活,http://192.168.0.245:8080/gdtv.php?id=sglssh
始兴综合,http://192.168.0.245:8080/gdtv.php?id=sgsx
云浮综合,http://192.168.0.245:8080/gdtv.php?id=yfzh
云浮文旅,http://192.168.0.245:8080/gdtv.php?id=yfwl
珠海一套,http://192.168.0.245:8080/gdtv.php?id=zh1
珠海一套HD,http://192.168.0.245:8080/gdtv.php?id=zh1hd
珠海二套,http://192.168.0.245:8080/gdtv.php?id=zh2
珠海二套HD,http://192.168.0.245:8080/gdtv.php?id=zh2hd
斗门融媒,http://192.168.0.245:8080/gdtv.php?id=dmrm
湛江综合,http://192.168.0.245:8080/gdtv.php?id=zjzh
湛江公共,http://192.168.0.245:8080/gdtv.php?id=zjgg
廉江综合,http://192.168.0.245:8080/gdtv.php?id=ljzh
